Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
Trading Cards/Flash Cards,Content,"This criterion focuses on the information included on the cards. The information should be both sufficient for the doctrine, event, person, etc. in focus, and it should be factually correct. At a minimum, the content should include dates and enough factual information to identify the figure/event/etc. Performance bands listed in source: Superior, Average, Lacking.",false,Superior,,50,Average,,36,Lacking,,20,No Marks,,0
Trading Cards/Flash Cards,Aesthetic,"This criterion focuses on the presentation of the cards. Final cards should have a professional feel to them. Students are not required to be graphic designers, but they should demonstrate a clear effort in production. Writing should be legible. Information should be presented in a pleasing manner. Performance bands listed in source: Superior, Average, Lacking.",false,Superior,,25,Average,,18,Lacking,,10,No Marks,,0
Trading Cards/Flash Cards,Number of Cards,"Each card is worth 0.5 points, up to a maximum of 25 points. Performance bands listed in source: Superior, Average, Lacking.",false,Superior,,25,Average,,18,Lacking,,10,No Marks,,0
Timeline Project,Content,"The timeline should include the major events covered in the course materials. At a minimum, the content should include dates and enough factual information to identify the figure/event/etc.",false,Excellent,,25,Very Good,,18,Average,,10,No Marks,,0
Timeline Project,Presentation,The final product should demonstrate a high level of effort. It should have a professional feel for the appropriate level of student.,false,Excellent,,25,Very Good,,18,Average,,10,No Marks,,0
Timeline Project,Creativity,The final product should demonstrate aspects that make the timeline personal and different.,false,Excellent,,20,Very Good,,15,Average,,10,No Marks,,0
Timeline Project,Usefulness,The project should be useful for the students both in the class setting and also for future study and/or ministry endeavors.,false,Excellent,,15,Very Good,,10,Average,,5,No Marks,,0
Timeline Project,Resources,The project should have clearly indicated citations. All citations should be supported with coherent reasoning as to why the resource is credible.,false,Excellent,,15,Very Good,,10,Average,,5,No Marks,,0
Discussion Posts,Content,"The initial post responds to the prompt with a coherent, logical structure. The information included demonstrates helpful interaction with the relevant course material.",false,Excellent,,55,Very Good,,40,Average,,20,No Marks,,0
Discussion Posts,Response,"The student interacts with the posts of at least two other students. The interaction should promote ongoing conversation and should include at least one of the following: agreement with additional considerations; disagreement with specific correctives; inquiries with particular, clarifying questions.",false,Excellent,,35,Very Good,,20,Average,,10,No Marks,,0
Discussion Posts,Mechanics,Posts should be readable and engaging. The grammar and syntax should not detract from the obvious meaning of the post. Spelling should be accurate.,false,Excellent,,10,Very Good,,8,Average,,5,No Marks,,0
Reflection Essays,Argument,"The essay should respond to the prompt with a coherent, logical structure. The information included should demonstrate a helpful interaction with the prompt and the assigned reading.",false,Excellent,,40,Very Good,,30,Average,,20,No Marks,,0
Reflection Essays,Synthesis,The essay should demonstrate the student's awareness of how other aspects of the class can be applied to each particular prompt. Students should draw on examples from various aspects of church history and should be willing to consider how arguments from church history can be applied to everyday life for the average believer.,false,Excellent,,40,Very Good,,30,Average,,20,No Marks,,0
Reflection Essays,Mechanics,Posts should be readable and engaging. The grammar and syntax should not detract from the obvious meaning of the post. Spelling should be accurate.,false,Excellent,,20,Very Good,,15,Average,,10,No Marks,,0
Exam: Identifications,Accuracy,"The information provided should be factually accurate and sufficient for demonstrating a clear understanding. As a part of a history course, this information should include dates. A lack of correct dates should result in an automatic deduction of 1 point.",false,Excellent,,2,Average,,1,No Marks,,0,,,
Exam: Identifications,Importance,The student should connect the concept with the broader understanding of the church and the development of church history. The significance of each concept should be noted with accuracy.,false,Excellent,,2,Average,,1,No Marks,,0,,,
Exam: Essays,Argument,"The essay should respond to the prompt with a coherent, logical structure. The information included should demonstrate a helpful interaction with the prompt and the assigned reading.",false,Excellent,,15,Very Good,,10,Average,,7,No Marks,,0
Exam: Essays,Historical Accuracy,"The information provided should be factually accurate and sufficient for demonstrating a clear understanding. As a part of a history course, this information should include dates.",false,Excellent,,10,Very Good,,7,Average,,5,No Marks,,0
Exam: Essays,Mechanics,Posts should be readable and engaging. The grammar and syntax should not detract from the obvious meaning of the post. Spelling should be accurate.,false,Excellent,,5,Very Good,,3,Average,,2,No Marks,,0
